name,Kind,Alcohol,Aroma,Taste,Finish
크루잔 에이지드 다크 럼,럼,40.0,"대담한, 깊은, 오크","버터, 우드, 달콤한",꿀
크루잔 에이지드 라이트 럼,럼,40.0,"오크, 달콤한","부드러운, 바닐라",긴 여운
크루잔 블랙스트랩 럼,럼,40.0,"스파이스, 바닐라, 후추, 생강","정향, 육두구, 계피, 주니퍼 베리","복합적인, 진한"
하바나 클럽 3년,럼,40.0,"과일, 신선한, 사탕수수","부드러운, 달콤한, 바나나, 가벼운","과일, 깔끔한, 오크"
캡틴 모건 럼,럼,35.0,"캐러멜, 바닐라, 후추","바닐라, 시나몬, 달콤한","오렌지, 시나몬, 부드러운"
레헨다리오 엘리시르 데 쿠바,럼,34.0,"깊은, 달콤한","감미로운, 건포도, 오크","바닐라, 사탕수수, 초콜릿"
플랜테이션 파인애플 럼,럼,40.0,"감귤, 열대 과일, 정향, 파인애플, 시트러스, 스모키","달콤한, 잘 익은 바나나, 파인애플","스파이시, 스모키"
바카디 오로 골드 럼,골드 럼,40.0,"바닐라, 아몬드, 오크","견과류, 오크","부드러운, 풍부한"
바톤 럼,럼,40.0,"달콤한, 바닐라","시트러스, 감귤",깔끔한
디플로마티코 리제르바 익스클루시바,다크 럼,40.0,"감초, 메이플 시럽, 오렌지, 토피","바닐라, 스파이시, 오크, 코코아","커피, 오크"
카덴헤드 클래식 럼,럼,50.0,"데메라라 설탕, 레몬, 신선한, 향신료","건포도, 아몬드, 초콜릿, 케이크, 타바코, 토피, 호두","스파이시, 후추"
크라켄 블랙 스파이스드,럼,40.0,"체리에이드, 캐러멜, 커피, 토피넛, 향신료","바닐라, 시나몬, 육두구, 캐러멜","긴 여운, 스파이시"
스트로 80,럼,80.0,알코올,"달콤한, 럼","강렬한, 진득한"
바카디 8년,골드 럼,40.0,"구운 설탕, 스파이시","설탕, 열대 과일","캐러멜, 따뜻한, 달콤한, 나무, 알코올"
사마롤리 2013 과들루프,럼,45.0,"초콜릿, 블랙 체리, 담배","감초, 말린 과일, 메이플 시럽","멘톨, 바닐라, 아몬드"
에미넨테 리제르바,럼,41.3,"구운 아몬드, 코코아, 시나몬, 말린 과일","가벼운, 토피, 커피, 초콜릿, 스모키","달콤한, 긴 여운, 다크 초콜릿"
하바나 클럽 7년,럼,40.0,"부드러운, 달콤한, 캐러멜, 오크, 설탕","바닐라, 오크, 달콤한, 캐러멜","바나나, 오크, 긴 여운"
플랜테이션 아일 오브 피지,럼,40.0,"강렬한, 사과, 바나나, 구스베리, 바닐라","풍부한, 바닐라 퍼지, 꿀, 생강, 프루티","버번, 바나나, 스파이스, 긴 여운"
콜로니스트 다크 럼,럼,40.0,사탕수수,"당밀, 사탕수수, 달콤한","부드러운, 부드러운"
롬 클럽 셰리,럼,40.0,"과일, 달콤한, 체리","복합적인, 다크 초콜릿, 견과류, 바닐라","긴 여운, 향신료"
롬 클럽 클래식,럼,40.0,"과일, 스파이시","열대 과일, 향신료","긴 여운, 향신료"
파이랏 럼 XO,럼,40.0,"오렌지, 시나몬","꿀, 바닐라, 캐러멜","부드러운, 신선한"
미스터 보스턴 럼,럼,40.0,"당밀, 순수한","달콤한, 부드러운","맑은, 순수한"
캡틴 모건 스파이스드 골드럼,럼,35.0,"바닐라, 캐러멜, 후추","달콤한, 바닐라, 시나몬","부드러운, 시나몬, 오렌지"
사마롤리 마르티니크 럼 No.5,럼,45.0,"블랙 체리, 아몬드, 민트","메이플, 초콜릿, 바닐라","타바코, 감초, 열대 과일"
에미넨테 리제르바,럼,41.3,"구운 아몬드, 말린 과일, 시나몬, 코코아","가벼운, 스모키, 초콜릿, 커피, 토피","긴 여운, 달콤한, 다크 초콜릿"
솔레라8 골드 오브 모리셔스 다크 럼,럼,40.0,"커피, 견과류, 바닐라, 오크","초콜릿, 커피, 견과류, 달콤한","균형 잡힌, 강렬한, 긴 여운"
골드 오브 모리셔스 다크 럼,럼,40.0,"오크, 구운 견과류, 바닐라, 몰트","캐러멜, 초콜릿, 시나몬, 달콤한","넛맥, 부드러운, 긴 여운, 스파이시"
솔레라5 골드 오브 모리셔스 다크 럼,럼,40.0,"구운 견과류, 초콜릿, 바닐라","오크, 부드러운, 달콤한, 몰트","부드러운, 달콤한, 긴 여운"
바카디 8년,골드 럼,40.0,"구운 설탕, 스파이시","설탕, 열대 과일","캐러멜, 따뜻한, 달콤한, 알코올, 나무"
푸써스 브리티시 네이비 54.5%,럼,54.5,"당밀, 토피, 꿀","바닐라, 오크, 육두구, 캐러멜","생강, 케이크, 토피, 에스프레소"
