name,Kind,Alcohol,Aroma,Taste,Finish
코마가타게 야쿠시마 2021,재패니즈 싱글몰트 위스키,56.0,"바나나, 오렌지, 풍부한, 바닐라, 흑설탕","스모키, 몰트, 달콤한, 열대 과일","긴 여운, 스모키"
코마가타게 야쿠시마 2020,재패니즈 싱글몰트 위스키,56.0,"감귤, 대추야자, 바닐라, 약간의 피트, 커스터드","구운 바나나, 짭짤한, 열대 과일, 피트, 파인애플","깔끔한, 달콤한, 과일, 말린 살구, 쿠키"
글렌모렌지 14년 꼬냑,싱글몰트 위스키,43.0,"건포도, 마지팬, 마카다미아, 신선한, 오크, 청사과, 토피, 퍼지","다크 초콜릿, 오크, 퍼지","견과류, 부드러운, 오크, 호두"
컴파스 박스 캔버스,블렌디드 위스키,46.0,"꿀, 레몬 셔벗, 배, 설탕에 절인 오렌지, 파인애플, 후추","복숭아, 마멀레이드, 바나나, 바닐라 커스터드, 포도","오렌지, 육두구, 진저, 토피"
토르스텐 벤 네비스 6년,싱글몰트 위스키,61.1,"초콜릿, 꿀, 모닥불, 커피","감초, 시나몬, 다크 초콜릿, 건포도, 자두","오렌지, 다크 초콜릿, 타바코, 스모키"
츠누키 피티드,재패니즈 싱글몰트 위스키,50.0,"레몬, 과일, 스모키, 피트","가벼운 스모키, 피트, 고소한, 시트러스, 감귤","견과류, 고소한, 깔끔한"
코마가타게 × 치치부 몰트 듀오,재패니즈 블렌디드 몰트 위스키,54.0,"몰트, 핵과류, 흙내음","복숭아, 꿀, 배, 스파이스","바나나, 바닐라, 복숭아, 살구"
코마가타게 ipa 2021,재패니즈 싱글몰트 위스키,52.0,"바닐라, 시트러스, 허브","몰트, 과일, 오렌지, 적포도","균형 잡힌, 달콤한, 쌉쌀한, 깔끔한, 상쾌한"
발베니 캐리비안 캐스크 14년,싱글몰트 위스키,43.0,"과일, 바닐라, 토피","과일, 바닐라, 오크","부드러운, 따뜻한"
믹터스 10년,아메리칸 위스키,47.2,"에스프레소, 휘핑크림, 토피","향신료, 메이플 시럽, 레몬","자몽, 캐러멜, 바닐라, 태운 오크"
스태그 주니어,버번 위스키,64.5,"오크, 다크 초콜릿, 흑설탕, 바닐라, 허브, 건자두, 체리","다크 초콜릿, 시나몬, 가죽, 시가","오크, 시나몬, 말린 과일, 바닐라, 긴 여운"
맥네어스 럼 릭 블렌디드 몰트 12년,블렌디드 위스키,46.0,"피트, 버터스카치, 모카","육두구, 헤더 꿀, 향신료","달콤한, 피트, 은은한"
레이디 오브 더 글렌 글렌 스페이 10년,싱글몰트 위스키,54.6,"망고, 과일, 강렬한","망고, 아몬드, 누가","긴 여운, 과일, 강렬한"
킬커란 헤빌리 피티드 배치 5,싱글몰트 위스키,57.7,"시트러스, 감귤, 바닐라, 캐러멜, 스모키","민트, 레몬 껍질, 꿀, 우드","스파이시, 망고, 피트"
위스키내비 김창수 초이스 #1 아드모어,싱글몰트 위스키,60.5,"복숭아, 오크, 요거트, 프루티","복숭아, 짭짤한, 바닐라, 스모키, 장작, 피트","부드러운, 스모키, 피트"
코마가타게 ipa 2020,재패니즈 싱글몰트 위스키,52.0,"가벼운 오크, 바닐라, 시트러스","구운 오렌지, 몰트, 산뜻한, 자몽","쌉쌀한, 깔끔한, 비터"
납 크릭,버번 위스키,50.0,"견과류, 과일, 몰트","달콤한, 스파이시, 오크","긴 여운, 부드러운, 풍부한"
킬커란 16년,싱글몰트 위스키,46.0,"레몬 머랭, 허브","견과류, 오렌지 껍질, 밀랍","짭짤한, 스모키, 아니스, 피트"
산시바 19년,블렌디드 위스키,45.2,"바닐라, 밀크 초콜릿, 셰리","꿀, 레몬, 사과","미네랄리티, 스모키, 구운 바나나"
발레친 에드라두어 SFTC 12년,싱글몰트 위스키,58.4,"피트, 후추, 말린 과일, 스모키","대추, 피트, 스모키, 백후추, 레드베리","피트, 짭짤한, 스모키, 헤이즐넛, 초콜릿"
발레친 에드라두어 SFTC 10년,싱글몰트 위스키,60.0,"땅콩, 캐러멜, 복숭아, 스모키","견과류, 구운 마시멜로, 스모키","달콤한, 짭짤한, 바닐라, 스모키, 몰트"
위스키브로커 헤븐힐 콘 위스키 12년,콘 위스키,53.5,"장미, 우드, 바닐라, 스모키","샌달우드, 달콤한, 후추","달콤한, 복합적인, 바닐라"
컴파스박스 익스페리멘탈 그레인,블렌디드 그레인 위스키,46.0,"바나나, 토피, 바베큐","스모키, 라즈베리, 아몬드","바닐라, 오일리"
