name,Kind,Alcohol,Aroma,Taste,Finish
퍼디난드 자르 드라이 진,진,44.0,"라벤더, 레몬 그라스, 주니퍼 베리","라임, 레몬, 타임, 베리","긴 여운, 과일, 백리향"
라세이 진,진,46.0,"신선한, 풀 내음, 오렌지, 감귤류","주니퍼 베리, 후추, 허브, 청량한","깔끔한, 깨끗한"
코발 드라이 진,진,47.0,"라벤더, 바닐라, 소나무","장미, 과일, 후추, 레몬","풍부한, 상쾌한"
"58진, 런던 드라이",진,43.0,"주니퍼 베리, 고수, 바닐라","허브, 쌉쌀한","스파이시, 달콤한, 깔끔한"
"58진, 잉글리쉬 베리",진,43.0,"주니퍼 베리, 바닐라","허브, 스파이시, 자두","쌉쌀한, 긴 여운, 깔끔한"
"58진, 애플&히비스커스",진,43.0,"사과, 주니퍼 베리, 꽃","사과, 베리류, 허브","스파이스, 긴 여운, 깔끔한"
헤이헤이 진 클라우디 핑크 그레이프 프룻 & 소다,진 칵테일,4.5,"포도, 자몽","열대 과일, 파인애플, 상큼한","달콤한, 향긋한, 허브"
마틴 밀러 진,진,40.0,"레몬, 소나무, 부드러운","감초, 스파이시, 감귤, 시트러스","레몬, 상쾌한, 은은한, 상큼한, 아이리스"
포 필라스 네이비 스트렝스 진,진,58.8,"시트러스, 향신료, 소나무","계피, 후추, 향신료, 시트러스","후추, 감초, 스파이시"
포 필라스 네그로니 진,진,43.8,"라벤더, 소나무","생강, 향신료, 후추, 스파이시, 상쾌한","후추, 감초, 스파이시"
포 필라스 셰리 캐스크 진,진,43.8,"라벤더, 소나무, 주니퍼 베리","견과류, 과일, 균형 잡힌, 진한","셰리, 달콤한"
포 필라스 올리브 리프,진,43.8,"레몬 머틀, 허브","자몽, 코리앤더 씨드, 주니퍼 베리","로즈마리, 마카다미아, 월계수"
고든스 런던 드라이 진 익스포트,런던 드라이 진,37.5,"주니퍼 베리, 허브, 코리앤더 씨드","주니퍼 베리, 시트러스, 감귤","깔끔한, 스파이시"
마틴 밀러 진,진,40.0,"소나무, 레몬, 신선한","감귤, 주니퍼 베리, 청량한","상쾌한, 은은한"
텐커레이 진,진,47.3,"꽃, 안젤리카, 시트러스, 감귤","선명한, 감초, 주니퍼 베리","산뜻한, 솔잎, 페퍼콘"
텐커레이 No.10,진,47.3,"라임, 레드 자몽, 안젤리카, 시트러스, 감귤","주니퍼 베리, 오렌지, 레몬, 감초, 화이트 자몽","솔잎, 페퍼콘"
헨드릭스 진,진,44.0,"향나무, 감귤, 장미, 오이","오렌지, 제비꽃, 오이, 장미, 허브","꽃, 신선한"
골드 999.9 진,진,40.0,"주니퍼 베리, 제비꽃, 월계수, 안젤리카","깔끔한, 허브","생강, 고수, 바닐라"
헨드릭스 진 44%,진,44.0,"감귤, 오이, 향나무","오렌지, 장미, 제비꽃","꽃, 허브, 신선한"
보타니스트 진,진,46.0,"고수, 민트, 감귤, 시트러스, 주니퍼 베리, 허브, 흙내음","복합적인, 부드러운, 섬세한, 허브","균형 잡힌, 꽃, 달콤한, 시나몬, 주니퍼 베리, 우드"
볼스 담락 오리지널 진,진,41.8,"고수, 주니퍼 베리","계피, 아니스, 오렌지","감초, 소나무, 오렌지, 허브"
선비 진 오크,진,48.0,"오크, 주니퍼 베리, 후추","청량한, 감귤, 시트러스","꽃, 오크, 바닐라"
코퍼헤드 깁슨,진,40.0,"육두구, 시나몬, 생강, 후추, 주니퍼 베리","회향, 허브, 쌉쌀한","정향, 고수, 달콤한"
선비 진,진,48.0,"오미자, 달콤한","깨끗한, 부드러운",깔끔한
부자 진 서울,"진, 우리술",44.0,"허브, 가벼운, 신선한","솔잎, 쑥, 묵직한","오렌지 껍질, 쌉쌀한, 달콤한"
부자 진 오크,"진, 우리술",44.0,"섬세한, 풍부한, 우디","주니퍼 베리, 감귤, 시트러스","균형 잡힌, 달콤한, 따뜻한, 쌉쌀한, 바닐라"
부자 진 오미자,"진, 우리술",44.0,"오미자, 산뜻한, 허브","타르트, 쌉쌀한, 풀","균형 잡힌, 긴 여운, 달콤한"
부자 진 개똥쑥,"진, 우리술",44.0,"허브, 풀내음, 마른 흙","쑥, 묵직한, 복합적인","균형 잡힌, 달콤한, 쌉쌀한"
더 일루셔니스트 드라이 진,진,45.0,"주니퍼 베리, 레몬 그라스, 진저","크랜베리, 카다멈, 캐모마일","향긋한, 허브, 플로럴, 깔끔한"
고든스 진,진,43.0,"주니퍼 베리, 허브, 코리앤더 씨드","주니퍼 베리, 시트러스, 감귤","스파이시, 깔끔한"
텐커레이 진,진,47.3,"주니퍼 베리, 솔잎, 달콤한, 과일, 감귤","초콜릿, 달콤한, 과일, 시트러스, 감초","긴 여운, 따뜻한, 스파이시"
고든스 진 43%,런던 드라이 진,43.0,"주니퍼 베리, 허브, 코리앤더 씨드","주니퍼 베리, 감귤, 허브","깔끔한, 스파이시"
고든스 진,런던 드라이 진,43.0,"주니퍼 베리, 허브, 코리앤더 씨드","시트러스, 감귤, 주니퍼 베리","스파이시, 깔끔한"
길비스 진,진,37.5,"상쾌한, 주니퍼 베리, 시트러스","가벼운, 쌉쌀한, 향신료","시원한, 깔끔한, 풀잎"
