name,Kind,Alcohol,Aroma,Taste,Finish
오드 비어셀 오드 크릭,맥주,6.0,"부드러운 피트, 상큼한","체리, 아몬드, 과일","과일, 강렬한"
바이엔슈테판 크리스탈,맥주,5.4,"시트러스, 바나나, 꽃","가벼운, 상큼한, 시원한 탄산감","홉, 깔끔한"
제주 누보,맥주(논알콜),0.0,"풀내음, 보리","시트러스, 몰트, 홉, 은은한",깔끔한 탄산감
시메이 골드,트라피스트 맥주,4.8,"꽃, 향신료, 홉, 은은한","고수, 프루티","신선한, 허브, 곡물"
시메이 화이트,트라피스트 맥주,8.0,"꽃, 고수, 홉","프루티, 스파이시","긴 여운, 부드러운"
에델바이스 드래프트 케그 5L,맥주,4.9,"허브, 엘더플라워, 과일","부드러운, 청량한, 섬세한","홉, 쌉쌀한, 상쾌한"
크로넨버그 1664 블랑,맥주,5.0,"열대 과일, 몰트","균형 잡힌, 달콤한, 쌉쌀한, 홉, 은은한, 오렌지","긴 여운, 부드러운, 긴 여운"
사무엘 아담스,맥주,4.8,레몬,"몰트, 묵직한",풍성한
빅 웨이브 골든 에일,맥주,4.4,허브,"부드러운, 상쾌한","신선한, 열대 과일"
하이네켄,맥주,5.0,"레몬, 보리, 홉, 은은한","몰트, 빵, 곡물",깔끔한 탄산감
시메이 프리미어 레드,트라피스트 맥주,7.0,"건자두, 캐러멜, 보리","쌉쌀한, 달콤한, 각설탕","부드러운, 긴 여운, 그윽한"
시메이 그랑 리저브 블루,트라피스트 맥주,9.0,"캐러멜, 건포도, 갈색 설탕","건자두, 베리류, 보리","긴 여운, 복합적인, 부드러운"
버터 맥주 AAA+,맥주,4.5,"바닐라, 버터","바닐라, 버터",부드러운
유자 퓨어 에일,맥주,5.0,"유자, 은은한, 상큼한","가벼운, 담백한, 경쾌한 탄산","깔끔한, 쌉쌀한, 시트러스"
모닝 캄,맥주,6.6,"레몬, 라임, 자몽, 망고, 오렌지","베리류, 패션프루트, 살구, 부드러운","시트러스, 산뜻한, 깔끔한"
사우어가이스트 애프리콧,맥주,7.0,"상큼한, 살구, 프루티","선명한, 산미, 가벼운","살구, 달콤한, 은은한"
기네스 콜드브루,맥주,4.0,"로스팅한 커피, 초콜릿, 캐러멜","달콤한, 쌉쌀한, 커피, 진한, 고소한","부드러운, 벨벳, 크리미, 조화로운"
린드하임 쿨쉽 블라바르,에일 맥주,7.0,"달콤한, 과일","블루베리, 새콤한, 부드러운","쌉쌀한, 균형 잡힌"
자갈치 휘트 비어,밀맥주,4.5,"맥아, 홉, 바나나","부드러운, 은은한 탄산감, 감칠맛","복합적인, 부드러운, 긴 여운"
