name,Kind,Alcohol,Aroma,Taste,Finish
"도멘 하고, 지브리 비에유 비뉴 루즈",레드 와인,13.0,"블랙베리, 블랙 체리, 라즈베리, 정향, 바닐라","단단한 구조감, 타닌, 산뜻한, 화사한","단단한 구조감, 균형 잡힌"
도멘 파트릭 마호아이에 마르사네,레드 와인,12.5,"과일, 스파이스","풍부한, 순수한","조화로운, 과일, 풍부한"
도멘 마트로 옥세 뒤레스 루즈,레드 와인,13.0,"레드베리, 블랙 체리, 석류, 말린 꽃","무화과, 경쾌한, 부드러운 타닌, 볼륨감, 산미","우아한, 부드러운"
도멘 앙리 흐북소 샹베르땅 그랑 크뤼,레드 와인,13.5,"산딸기, 바닐라, 스파이스, 복합적인","단단한 구조감, 실키, 부드러운","우아한, 균형 잡힌, 조화로운"
샤또 뻬이 라 뚜르 리저브 보르도 수페리에르,레드 와인,14.5,"딸기, 산딸기, 자두, 민트","부드러운 타닌, 신선한, 잘 익은 과일","균형 잡힌, 긴 여운"
샤또 헤쏭 리저브 오-메독 크뤼 부르주아,레드 와인,14.5,"블랙베리, 블랙 체리, 코코아, 향신료, 과일","부드러운 타닌, 농축된, 신선한, 과일","조화로운, 우아한"
샤또 라울 그라브 블랑,화이트 와인,12.5,"레몬 커드, 자몽, 미네랄리티, 풍부한",부드러운,"우아한, 긴 여운, 부드러운"
샤또 라울 그라브 루즈,레드 와인,13.0,"우아한, 검붉은 과일, 향신료","신선한, 과일, 농축된, 향신료","긴 여운, 조화로운"
돔 페리뇽 블랑 2012 매그넘,스파클링 와인,12.5,"브리오슈, 토스트, 아몬드, 헤이즐넛","배, 살구, 치즈, 청사과, 복숭아, 꿀, 미네랄리티","사과, 멜론, 자몽, 라임, 레몬 껍질"
인도미타 프리미엄 듀엣떼,레드 와인,14.9,"타바코, 레드커런트","가죽, 바닐라, 오크","스모키, 초콜릿, 커피"
타라파카 그랑 리제르바 까르미네르,레드 와인,14.5,"검붉은 과일, 감초, 정향","타닌, 묵직한, 블랙베리","오크, 커피, 긴 여운"
라 펠리시다드 프리미엄 쿠파주,레드 와인,12.0,"요거트, 바닐라, 피망","자두, 후추, 체리","블랙베리, 코코아, 가죽"
"도멘 몽로즈, 솔리스 루멍 로제",로제 와인,14.4,"허브, 체리, 미네랄리티","붉은 과일, 시트러스, 자몽","깔끔한, 신선한"
"들라스, 벙뚜 2019",레드 와인,13.5,"라즈베리, 딸기, 흑후추, 블랙베리","체리, 아몬드, 바닐라, 붉은 과일",마시기 쉬운
다인하드 그린라벨 리슬링,화이트 와인,10.0,"열대 과일, 감귤, 시트러스, 사과, 무화과","풍부한, 과일, 상큼한, 패션프루트","꿀, 산미, 미네랄리티"
산타 헬레나 세미 스위트 화이트,화이트 와인,10.5,"복숭아, 신선한, 달콤한, 과일","산미, 신선한, 과일","생동감, 긴 여운"
산타 헬레나 세미 스위트 레드,레드 와인,10.5,"블랙베리, 바닐라, 향신료","블랙베리, 블랙커런트","부드러운 타닌, 풍부한, 과일"
샤또 라피트 로칠드 1994,레드 와인,13.5,"오크, 담배, 가죽, 스모키","블랙베리, 후추, 라벤더","풍부한, 부드러운, 강렬한"
다인하드 그린라벨 리슬링,화이트 와인,10.0,"무화과, 사과, 감귤, 시트러스, 열대 과일","상큼한, 패션프루트, 풍부한, 과일","꿀, 산미, 미네랄리티"
호메세라 부케 까바 브뤼,스파클링 와인,11.5,"핵과류, 레드베리","딸기, 라임, 서양 배","오렌지 껍질, 레몬"
프로베토 브뤼,스파클링 와인,10.5,"견과류, 구운 빵, 신선한, 과일","풍부한, 미묘한, 탄산감, 과일","부드러운, 산미"
타라파카 그랑 리제르바 샤르도네,화이트 와인,14.2,"복숭아, 오크, 사과","바닐라, 배, 버터","가벼운, 부드러운, 미네랄리티"
타라파카 그랑 리제르바 까르미네르,레드 와인,14.5,"감초, 검붉은 과일, 정향","블랙베리, 타닌, 묵직한","긴 여운, 오크, 커피"
콥케 드라이 화이트 포트,포트 와인,19.5,"과일, 시트러스, 열대 과일, 꿀","배, 청사과, 부드러운","균형 잡힌, 부드러운"
조니큐 쉬라즈,레드 와인,14.5,"라즈베리, 자두, 후추","체리, 딸기, 크랜베리","오크, 바닐라, 타바코, 초콜릿"
앨런 스콧 말보로 소비뇽 블랑,화이트 와인,12.5,"열대 과일, 후추, 시트러스, 감귤","라임, 레몬, 버베나, 자몽, 허브","균형 잡힌, 긴 여운, 복합적인"
스칼렛 다크 까베르네 소비뇽,레드 와인,13.5,"가죽, 체리, 흙내음, 스모키","자두, 잼, 블루베리, 블랙베리","오크, 초콜릿, 바닐라"
서브미션 까베르네 소비뇽,레드 와인,14.5,"검붉은 과일, 바닐라, 오크, 흑연","바닐라, 체리, 초콜릿, 향신료","블랙 체리, 삼나무, 블랙커런트"
샤또 레스 모인스,레드 와인,14.0,"가죽, 버섯, 후추, 흙내음, 스모키","블랙베리, 블랙체리, 블랙커런트, 카시스","바닐라, 삼나무, 오크, 초콜릿, 타바코"
브레드 앤 버터 샤르도네,화이트 와인,13.5,"바닐라, 버터, 오크","바나나, 배, 빵, 사과, 치즈",긴 여운
브레드 앤 버터 까베르네 소비뇽,레드 와인,13.5,"딸기, 바닐라, 오크, 장작","버터, 자두, 체리, 초콜릿, 커피","모카, 부드러운, 긴 여운"
몬테스 알파 까베르네 소비뇽,레드 와인,14.0,"오크, 바닐라, 삼나무, 타바코","자두, 카시스, 체리, 딸기, 블랙커런트, 블랙베리","가죽, 초콜릿, 흙내음, 스모키"
르 꼬르틴 그랑 리저브 화이트,화이트 와인,12.0,"구스베리, 라임, 신선한, 오렌지","섬세한, 미네랄리티, 프루티, 부드러운","조화로운, 단단한 구조감"
돔 페리뇽 블랑 2012 매그넘,스파클링 와인,12.5,"브리오슈, 아몬드, 토스트, 헤이즐넛","꿀, 배, 복숭아, 살구, 청사과, 치즈, 미네랄리티","라임, 레몬 껍질, 멜론, 사과, 자몽"
데오르 골드 엑스트라 드라이 스푸만테,스파클링 와인,10.0,"자몽, 시트러스, 감귤","배, 사과, 복숭아, 치즈","라임 껍질, 레몬"
노스트로스 리제르바 까베르네 소비뇽,레드 와인,13.5,"민트, 바닐라, 배, 오크","부드러운 타닌, 약간의 산미","깔끔한, 신선한, 쌉쌀한"
"꼼떼 드 트레비즈, 샤블리",화이트 와인,12.5,"시트러스, 감귤","부드러운, 산미, 옥수수, 서양 배","바닐라, 산뜻한, 오크"
인비보 X 사라 제시카 파커 말보로 소비뇽 블랑,화이트 와인,13.0,"감귤, 시트러스, 패션프루트, 라임, 자몽","미네랄리티, 배, 망고, 키위, 구아바, 청사과, 파인애플, 열대 과일","산뜻한, 풀, 살구, 멜론, 바닐라, 꿀"
타파스 템프라니요,레드 와인,14.0,"검은 과일, 딸기, 블루베리","자두, 잼, 체리, 수박, 블랙베리, 초콜릿","오크, 바닐라, 담배, 캐러멜"
덕혼 나파 밸리 까베르네 소비뇽,레드 와인,14.5,"블루베리, 제비꽃, 라즈베리, 딸기, 무화과","카카오 열매, 흑연, 산딸기, 레드커런트","후추, 민트, 감초, 시나몬, 가죽, 스모키"
